month,day,area_sown,yield,inflation,price
may,1,17.73,556,4.94,3800
may,2,17.73,556,4.94,3800
may,3,17.73,556,4.94,3850
may,4,17.73,556,4.94,3850
may,5,17.73,556,4.94,3850
may,6,17.73,556,4.94,3850
may,7,17.73,556,4.94,3850
may,8,17.73,556,4.94,3900
may,9,17.73,556,4.94,3900
may,10,17.73,556,4.94,3900
may,11,17.73,556,4.94,3900
may,12,17.73,556,4.94,3900
may,13,17.73,556,4.94,3800
may,14,17.73,556,4.94,3800
may,15,17.73,556,4.94,3850
may,16,17.73,556,4.94,3800
may,17,17.73,556,4.94,3800
may,18,17.73,556,4.94,3800
may,19,17.73,556,4.94,3900
may,20,17.73,556,4.94,3900
may,1,14.09,579,2.94,4000
may,2,14.09,579,2.94,4000
may,3,14.09,579,2.94,4000
may,4,14.09,579,2.94,4000
may,5,14.09,579,2.94,4100
may,6,14.09,579,2.94,4000
may,7,14.09,579,2.94,4000
may,8,14.09,579,2.94,4000
may,9,14.09,579,2.94,4100
may,10,14.09,579,2.94,4100
may,11,14.09,579,2.94,4000
may,12,14.09,579,2.94,4000
may,13,14.09,579,2.94,4000
may,14,14.09,579,2.94,4000
may,15,14.09,579,2.94,4000
may,16,14.09,579,2.94,4000
may,17,14.09,579,2.94,4000
may,18,14.09,579,2.94,4000
may,19,14.09,579,2.94,4000
may,20,14.09,579,2.94,4000
may,1,18.97,488,4.86,5000
may,2,18.97,488,4.86,5000
may,3,18.97,488,4.86,5000
may,4,18.97,488,4.86,5000
may,5,18.97,488,4.86,5000
may,6,18.97,488,4.86,4600
may,7,18.97,488,4.86,5000
may,8,18.97,488,4.86,5000
may,9,18.97,488,4.86,5000
may,10,18.97,488,4.86,5000
may,11,18.97,488,4.86,5000
may,12,18.97,488,4.86,5200
may,13,18.97,488,4.86,5000
may,14,18.97,488,4.86,5000
may,15,18.97,488,4.86,5000
may,16,18.97,488,4.86,5000
may,17,18.97,488,4.86,5200
may,18,18.97,488,4.86,5000
may,19,18.97,488,4.86,4700
may,20,18.97,488,4.86,5000
may,1,18.27,400,7.66,4400
may,2,18.27,400,7.66,4400
may,3,18.27,400,7.66,4350
may,4,18.27,400,7.66,4400
may,5,18.27,400,7.66,4350
may,6,18.27,400,7.66,4400
may,7,18.27,400,7.66,4400
may,8,18.27,400,7.66,4200
may,9,18.27,400,7.66,4400
may,10,18.27,400,7.66,4300
may,11,18.27,400,7.66,4300
may,12,18.27,400,7.66,4400
may,13,18.27,400,7.66,4400
may,14,18.27,400,7.66,4400
may,15,18.27,400,7.66,4400
may,16,18.27,400,7.66,4400
may,17,18.27,400,7.66,4400
may,18,18.27,400,7.66,4400
may,19,18.27,400,7.66,4400
may,20,18.27,400,7.66,4400
may,1,17.61,512,6.76,5400
may,2,17.61,512,6.76,5400
may,3,17.61,512,6.76,5500
may,4,17.61,512,6.76,5450
may,5,17.61,512,6.76,5200
may,6,17.61,512,6.76,5600
may,7,17.61,512,6.76,5400
may,8,17.61,512,6.76,5200
may,9,17.61,512,6.76,5200
may,10,17.61,512,6.76,5400
may,11,17.61,512,6.76,5200
may,12,17.61,512,6.76,5200
may,13,17.61,512,6.76,5400
may,14,17.61,512,6.76,5400
may,15,17.61,512,6.76,5400
may,16,17.61,512,6.76,5400
may,17,17.61,512,6.76,5400
may,18,17.61,512,6.76,5400
may,19,17.61,512,6.76,5400
may,20,17.61,512,6.76,5400
